Node_Name,Location_X,Location_Y,Objects
Engelbart,63,-30,Tissue:6;Drone:440;BeefBurger:77;Milktea:25;Soap:15;Egg:10
CornerZone,-80,-65,BeefBurger:69;Toothpaste:8;LanCable:14
Cook,6,4,Towel:14;Soap:18;Shampoo:22;Bread:5
Newton,95,47,Tissue:8;Water:14;Juice:16;Noodles:13;MedKit:78
Planck,-44,24,Milktea:15;Shampoo:22;Tissue:7
Tanenbaum,71,73,SolarPanel:468;FirstAid:59;SleepingBag:63;Soap:17;Fuel:33
CafeExpress,-79,64,Fuel:78;Soap:15;FirstAid:38;Bread:19;Milktea:25
DepotPlus,-14,94,Milktea:30;MedKit:41;SleepingBag:129;Shampoo:11;Egg:7
Torvalds,-43,66,MedKit:42;Drone:972
ShopZone,-93,-37,SleepingBag:79;Water:8;Laptop:558
AdaLovelace,21,71,Camera:159;ChessBurger:41
Curie,96,-6,Laptop:534;SolarPanel:548;LanCable:20
Hawking,-21,-73,Water:7;Noodles:6;Camera:175;PowerBank:112;Toothpaste:6;LanCable:54
Knuth,97,-23,Flashlight:47;Battery:94;Camera:147;Bread:7;Juice:16;Towel:18
VonNeumann,-97,7,Battery:68;Shampoo:14;Juice:14;Drone:380;SleepingBag:126
ShopSquare,66,-31,Flashlight:66;Towel:16;MedKit:60;Tissue:5;Soap:7;Shampoo:18
MartBay,15,-38,Camera:103;Laptop:1312;PowerBank:133;Toothpaste:7;Fruit:10
Noether,-46,-10,Fruit:7;Milktea:32;Laptop:320;LanCable:43
DepotBay,-52,-79,SolarPanel:434;Shampoo:17;Tissue:9
Shamir,65,82,Soap:12;Flashlight:45;Water:8;Egg:6;Noodles:15
RestoX,48,-6,Towel:25;Detergent:20;Juice:13;Shampoo:24;SolarPanel:288
Shannon,-22,-36,Battery:50;SolarPanel:211;ChessBurger:59
Turing,95,76,ChessBurger:42;SolarPanel:520;Tissue:10
MartPlus,52,-28,SleepingBag:97;ChessBurger:39
ShopX,-8,-55,Water:9;LanCable:12;Towel:9;Fuel:100
MartX,-26,78,Drone:305;MedKit:40;Tissue:6
CafePlus,20,22,Fruit:4;FirstAid:29;Bread:17;Milktea:30;Tissue:3
RestoPlus,47,61,Fuel:68;Flashlight:25
Hopper,-37,-70,MedKit:73;Shampoo:22;Laptop:1222;SleepingBag:116;SolarPanel:302;BeefBurger:115
MarketX,50,9,Camera:112;Laptop:725;Bread:11;SolarPanel:285
CornerExpress,69,-80,BeefBurger:64;FirstAid:35;Towel:8
MarketBay,4,15,Tissue:9;Noodles:6;Bread:12;BeefBurger:119;Flashlight:36;LanCable:60
DepotX,60,50,Shampoo:17;Battery:92;Towel:12
Sutherland,-32,-64,Bread:14;FirstAid:43
Liskov,12,-69,LanCable:44;Noodles:12;Toothpaste:12;Milktea:17;Detergent:11
RestoZone,10,88,Laptop:768;Milktea:36;Water:19;Egg:2
MartSquare,95,72,Camera:160;Bread:19;MedKit:57;FirstAid:36
Bohr,49,11,Egg:7;Tissue:3;Juice:10;Shampoo:20;Fruit:9
CafeSquare,77,26,PowerBank:190;Toothpaste:5;SleepingBag:118;MedKit:45
MarketSquare,-20,-36,Battery:10;MedKit:74;Toothpaste:12;Detergent:23
Maxwell,-87,-52,Juice:20;Laptop:405;MedKit:53;Tissue:6;Drone:762;Soap:9
DepotExpress,-27,12,Battery:40;Water:6;Drone:518;Laptop:1428;Flashlight:20
RestoY,41,4,BeefBurger:118;SleepingBag:74
Fermi,18,-70,Tissue:10;LanCable:55;Noodles:9
Schrodinger,6,23,BeefBurger:72;Soap:9;Towel:10;Fuel:65;Toothpaste:11
Papert,-13,29,SleepingBag:98;Water:19;Noodles:14;SolarPanel:487
Wilkes,25,-62,Towel:25;Tissue:8;Juice:15;Fruit:8;MedKit:52
Kay,78,-39,Toothpaste:12;BeefBurger:105;MedKit:64;Shampoo:22;Bread:9;Fruit:10
MartZone,-91,-68,Camera:158;Fruit:3;Battery:28;Soap:18;MedKit:49;Detergent:12
Tesla,20,100,Fruit:13;Laptop:464;LanCable:31;Toothpaste:15
Dirac,36,-3,Drone:754;LanCable:12;MedKit:79;Tissue:3
CornerPlus,-40,61,BeefBurger:66;SolarPanel:539;Egg:3;Shampoo:24
MarketY,-58,77,Water:2;Bread:14;Fruit:8;Flashlight:43
ShopPlus,10,-63,Detergent:15;Shampoo:15;Camera:122
RestoExpress,-80,56,Laptop:593;PowerBank:109;BeefBurger:89;Tissue:6;Camera:158
Euler,-35,70,Flashlight:38;Soap:10
Minsky,-82,13,Camera:188;Noodles:9;Drone:667;Shampoo:19
Dijkstra,-50,-2,Battery:83;BeefBurger:78;Toothpaste:9;Camera:102;Juice:18
Einstein,1,-30,Camera:199;PowerBank:62
MarketPlus,55,90,SleepingBag:137;Noodles:10;MedKit:54;Flashlight:60;BeefBurger:72
Pauli,58,-36,Drone:516;Battery:66;Bread:6
ShopExpress,48,-7,Egg:8;Noodles:7;Fruit:6
CornerY,-67,38,Detergent:18;Milktea:30;SleepingBag:97;FirstAid:46
Leibniz,-71,19,Fuel:58;MedKit:65
CafeZone,42,-7,Flashlight:20;Toothpaste:9
RestoSquare,37,-69,Juice:14;PowerBank:145;SolarPanel:205;Milktea:36;Camera:129
CafeY,20,-94,Towel:22;Fruit:14;Laptop:918;BeefBurger:101;Drone:618;Egg:3
RestoBay,-65,-89,Noodles:6;Tissue:3
Boole,-40,37,Toothpaste:15;Soap:18;Juice:17
Hellman,90,86,Shampoo:25;Drone:830;Battery:62
DepotZone,-29,-92,ChessBurger:31;Soap:16;BeefBurger:94;Juice:18
Zuse,-9,-85,Milktea:17;ChessBurger:38;Battery:92;SleepingBag:141;Soap:5
CafeBay,-88,-15,Fuel:56;Flashlight:24;Camera:197
MarketZone,41,-47,ChessBurger:42;BeefBurger:114;Fruit:5;Fuel:46;Laptop:1406;Water:9
Karp,-56,-72,Fuel:75;Water:8
Backus,50,-18,FirstAid:28;Milktea:19
CornerSquare,89,7,Battery:75;SolarPanel:453;Egg:3;Tissue:9;Soap:12;Juice:17
DepotSquare,-89,86,Noodles:11;Soap:18;Drone:902;Water:4;Bread:20;Tissue:9
MartY,-82,-80,Laptop:1498;Fuel:100;Egg:7;Milktea:27
Feynman,52,35,Soap:8;Detergent:13;Laptop:1429;Shampoo:16
McCarthy,10,15,Shampoo:24;Fruit:9;SleepingBag:113
CornerX,86,-76,Shampoo:21;Fruit:5;PowerBank:171;Milktea:17
ShopBay,-77,-79,Shampoo:21;Battery:26
Chomsky,42,-85,Towel:19;SleepingBag:145;Fruit:15;PowerBank:158;Battery:16;Shampoo:19
Adleman,53,-21,Battery:29;Camera:184;Detergent:25;ChessBurger:39
Rivest,-73,-11,Juice:20;Battery:64;MedKit:75;Milktea:39;Camera:179;BeefBurger:99
MartExpress,72,64,Water:6;Laptop:859;PowerBank:129;LanCable:31;Milktea:26;SleepingBag:60
CafeX,-54,-64,PowerBank:73;Toothpaste:13;Egg:5;Fuel:78;Drone:629;Water:15
CornerBay,-13,-60,Noodles:14;SolarPanel:455;Fruit:4;MedKit:43
Heisenberg,-61,-60,Bread:18;PowerBank:174;Egg:9;Milktea:28;Soap:13;Flashlight:33
Codd,93,31,Juice:9;Shampoo:19
BernersLee,73,73,Tissue:8;Detergent:11;PowerBank:51;Noodles:8;Bread:14;BeefBurger:120
Goldwasser,-46,96,MedKit:60;Milktea:18;Noodles:5
Diffie,27,91,FirstAid:39;Fuel:94;Toothpaste:13;Towel:19;LanCable:14
Faraday,1,89,Shampoo:24;Water:3
DepotY,-20,47,Camera:137;Toothpaste:6;LanCable:35;Drone:221;Shampoo:20
ShopY,-57,58,SleepingBag:73;LanCable:25;Juice:14;Egg:8;Shampoo:26
MarketExpress,-80,1,SolarPanel:236;Fruit:4;BeefBurger:92;MedKit:80
Galileo,-71,35,ChessBurger:40;MedKit:46;Juice:10;Flashlight:36;Drone:402;Fuel:52
Engelbart,54,-61,FirstAid:56;MedKit:69
CornerZone,93,44,Soap:15;PowerBank:130;Camera:119;Drone:650;SolarPanel:184;Laptop:1260
Cook,13,61,Flashlight:42;Milktea:31;Camera:109;Bread:14
Newton,18,15,Bread:14;Juice:9
Planck,65,-77,Laptop:384;Detergent:24;Toothpaste:14;Soap:11;Camera:141;Towel:23
Tanenbaum,28,-62,Soap:15;Battery:20
CafeExpress,29,65,Bread:19;BeefBurger:88;LanCable:43
DepotPlus,33,56,Juice:14;Noodles:10;Toothpaste:15
Torvalds,53,-87,Egg:8;Fruit:7;Battery:42;Towel:12
ShopZone,-15,-80,PowerBank:150;Fuel:46;Juice:17;Noodles:6;Drone:517;SleepingBag:131
AdaLovelace,-4,64,SleepingBag:147;Fuel:97;PowerBank:73;LanCable:51
Curie,71,8,Juice:13;Water:16;SleepingBag:84;Noodles:8;FirstAid:33;ChessBurger:34
Hawking,-81,-25,Detergent:11;MedKit:61
Knuth,96,58,Laptop:632;Toothpaste:7;Fuel:51
VonNeumann,84,12,Shampoo:17;Juice:15
ShopSquare,56,-28,BeefBurger:117;Towel:14;Noodles:10;Flashlight:63;Tissue:9
MartBay,18,96,MedKit:50;Toothpaste:8;Detergent:14;Shampoo:18
Noether,-87,64,Juice:9;Towel:17;Battery:20;LanCable:58;Detergent:15
DepotBay,-31,15,Fuel:33;Shampoo:23;Egg:2;BeefBurger:85;Soap:16;Juice:11
Shamir,-2,-80,BeefBurger:113;Water:11;Fruit:15;Battery:28
RestoX,-65,-91,SleepingBag:150;Tissue:9;LanCable:38;Fuel:30
Shannon,-80,-96,ChessBurger:58;SleepingBag:114;Fuel:44;Towel:17
Turing,-40,-23,Bread:18;BeefBurger:100
MartPlus,59,17,Battery:73;SleepingBag:136
ShopX,37,-96,Camera:100;BeefBurger:99;LanCable:32;Fuel:60;Noodles:14;Shampoo:23
MartX,-53,70,Detergent:12;Juice:16
CafePlus,39,29,Towel:20;Water:12;Toothpaste:9;Tissue:2;Bread:16;Drone:269
RestoPlus,-12,-39,MedKit:61;Camera:117
Hopper,-89,-10,Fruit:13;Drone:386;FirstAid:33;PowerBank:66;Soap:19;Tissue:2
MarketX,-25,-49,Flashlight:22;ChessBurger:45
CornerExpress,-21,31,SleepingBag:142;Towel:14;Tissue:6;Milktea:26;Bread:6
MarketBay,67,-16,Battery:61;Flashlight:67;Juice:15;Shampoo:22
DepotX,-14,-53,LanCable:27;Tissue:3;Juice:19;Flashlight:47;Detergent:12
Sutherland,10,54,Towel:11;Noodles:6;Fruit:8
Liskov,69,-25,Soap:10;Laptop:1209;LanCable:32;Shampoo:24
RestoZone,-90,86,Laptop:417;Shampoo:12;Milktea:36;Drone:852
MartSquare,3,-7,Flashlight:58;SolarPanel:497;PowerBank:162;FirstAid:27;Water:5;Fuel:38
Bohr,-40,99,Juice:17;Toothpaste:7;Camera:186;Bread:19
CafeSquare,-6,-5,MedKit:63;Egg:8;Camera:140;Fuel:65;Detergent:17
MarketSquare,-71,-94,Tissue:10;Detergent:13;Toothpaste:9
Maxwell,98,-34,ChessBurger:37;Laptop:551;Noodles:7;LanCable:14;Tissue:9
DepotExpress,-56,82,Egg:3;Flashlight:55;PowerBank:188;Fruit:7;Juice:12
RestoY,-60,82,Flashlight:34;Juice:9;Detergent:16
Fermi,-65,-40,Water:18;Juice:10;Towel:10;Camera:108;Soap:14
Schrodinger,1,83,Detergent:12;Shampoo:14;MedKit:60;SleepingBag:142;Camera:109
Papert,15,19,Juice:10;Fuel:46;MedKit:67;Towel:24;Drone:256;Camera:115
Wilkes,32,-61,FirstAid:47;Fruit:11;LanCable:28;BeefBurger:114
Kay,-80,-36,Drone:328;Towel:17;Milktea:34
MartZone,36,-77,Drone:874;FirstAid:46;Camera:172;MedKit:42;Fuel:33;Flashlight:25
Tesla,-89,64,Milktea:35;Drone:231;ChessBurger:56;Camera:180;Shampoo:27;Laptop:893
Dirac,64,-23,BeefBurger:89;Flashlight:24;PowerBank:65;Toothpaste:7;Noodles:12
CornerPlus,6,23,ChessBurger:45;Fruit:14;Laptop:1007;Fuel:81;LanCable:18
MarketY,94,-6,Towel:16;Battery:67;Fruit:6;BeefBurger:69;Soap:8;Flashlight:23
ShopPlus,-26,-2,Shampoo:16;BeefBurger:108;FirstAid:35;Fruit:10;Camera:165;SolarPanel:389
